city,variables,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Osogbo,sunny,9.2,4.2,1.2,0.5,0.5,0.1,0,0,0,0,0.3,4
Osogbo,cloudy,21.2,22.8,26.3,23.5,19.5,13.9,10.9,10.6,8.8,18.1,27.4,26
Osogbo,precipitation,4.1,4.7,8,14.9,20.8,25.1,24.6,21.8,26.7,19.8,4.7,3.8
Ile-Ife,sunny,7.1,3.3,1.6,1.4,0.7,0,0,0,0,0,0.2,2.8
Ile-Ife,cloudy,23.2,23.8,26,23.1,19.7,14.3,12.5,11.3,9.9,17.8,27.4,27
Ile-Ife,precipitation,2.9,4.1,7.8,15.8,22.1,25.6,22.5,20.3,25.6,21.5,5.5,3.4
Ilesa,sunny,9.2,4.2,1.2,0.5,0.5,0.1,0,0,0,0,0.3,4
Ilesa,cloudy,21.2,22.8,26.3,23.5,19.5,13.9,10.9,10.6,8.8,18.1,27.4,26
Ilesa,precipitation,4.1,4.7,8,14.9,20.8,25.1,24.6,21.8,26.7,19.8,4.7,3.9
Iwo,sunny,10,5.6,2.7,2.2,1.1,0.1,0,0.1,0,0,0.2,0.2
Iwo,cloudy,20.7,21.8,25.1,22.3,19.6,14.6,11.6,11.1,9.6,18.5,27.6,27.6
Iwo,precipitation,3.1,3.9,6.6,13.4,19.9,24.5,22.9,20.5,26,18.6,4.1,4.1
